Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
aw1,Central Bureau of Statistics (Aruba),AW1,,193,
hr1,Central Bureau of Statistics (Croatia),HR1,,194,
cw1,Central Bureau of Statistics (Curacao),CW1,,195,
il1,Central Bureau of Statistics (Israel),IL1,,196,
ke1,Central Bureau of Statistics (Kenya),KE1,,197,
na1,Central Bureau of Statistics (Namibia),NA1,,198,
np1,Central Bureau of Statistics (Nepal),NP1,,199,
an1,Central Bureau of Statistics (Netherlands Antilles),AN1,,200,
sd1,Central Bureau of Statistics (Sudan),SD1,,201,
sy1,Central Bureau of Statistics (Syria Arab Rep.),SY1,,202,
nl1,Central Bureau voor de Statistiek (Netherlands),NL1,,203,
sa1,Central Department of Statistics (Saudi Arabia),SA1,,204,
lv1,Central Statistical Bureau of Latvia,LV1,,205,
ai1,Central Statistical Office (Anguilla),AI1,,206,
bz1,Central Statistical Office (Belize),BZ1,,207,
bt1,Central Statistical Office (Bhutan),BT1,,208,
dm1,Central Statistical Office (Dominica),DM1,,209,
ie1,Central Statistical Office (Ireland),IE1,,210,
mu1,Central Statistical Office (Mauritius),MU1,,211,
sz1,Central Statistical Office (Swaziland),SZ1,,212,
tt1,Central Statistical Office (Trinidad and Tobago),TT1,,213,
zm1,Central Statistical Office (Zambia),ZM1,,214,
zw1,Central Statistical Office (Zimbabwe),ZW1,,215,
pl1,Central Statistical Office of Poland,PL1,,216,
mm1,Central Statistical Organization (Myanmar),MM1,,217,
ye1,Central Statistical Organization (Yemen),YE1,,218,
ae1,"Central Statistical Organization, part of the Ministry of Economy and Planning (United Arab Emirates)",AE1,,219,
za1,Central Statistical Service (South Africa),ZA1,,220,
gm1,Central Statistics Division (Gambia),GM1,,221,
bw1,Central Statistics Office (Botswana),BW1,,222,
c992,"Central banks of the new EU Member States 2004 (CY,CZ,EE,HU,LV,LT,MT,PL,SK,SI",C992,,223,
aw2,Centrale Bank van Aruba,AW2,,224,
sr2,Centrale Bank van Suriname,SR2,,225,
cg1,"Centre National de la Statistique et des Edudes Economiques (CNSEE)   (Congo, Rep of)",CG1,,226,
is98,Civil Aviation Administration,IS98,,227,
gr98,Civil Aviation Authority,GR98,,228,
5z50,Colombo Plan,5Z50,,229,
4j70,Committee of Regions,4J70,,230,
4j830,Community Plant Variety Office,4J830,,231,
4j840,Computer Emergency Response Team,4J840,,232,
ck4,Cook Islands Ministry of Finance,CK4,,233,
ck1,Cook Islands Statistics Office,CK1,,234,
6c0,Council of Europe,6C0,,235,
4j20,Council of the European Union,4J20,,236,
4j40,Court of Auditors,4J40,,237,
4j30,Court of Justice,4J30,,238,
hr2,Croatian National Bank,HR2,,239,
qa3,Customs Department (Qatar),QA3,,240,
et3,Customs and Excise Administration (Ethiopia),ET3,,241,
cz2,Czech National Bank,CZ2,,242,
cz1,Czech Statistical Office,CZ1,,243,
fr98,DGAC(Direction General de l`Aviation Civil),FR98,,244,
fr97,DTMPL France,FR97,,245,
af2,Da Afghanistan Bank,AF2,,246,
dk98,Danish Civil Aviation Administration,DK98,,247,
dk2,Danmarks Nationalbank (Denmark),DK2,,248,
dk1,Danmarks Statistik (Denmark),DK1,,249,
co1,Departamento Administrativo Nacional  de Estadísticas (Colombia),CO1,,250,
es3,Departamento de Aduanas (Spain),ES3,,251,
mo4,"Departamento de Estudos e Planeamento Financeiro (China,P.R.:Macao)",MO4,,252,
bw3,Department of Customs and Excise (Botswana),BW3,,253,
za3,Department of Customs and Excise (South Africa),ZA3,,254,
bn3,Department of Economic Planning and Development (DEPD) (Brunei Darussalam),BN3,,255,
gb3,"Department of Environment, Transport and the Regions (United Kingdom)",GB3,,256,
ky1,Department of Finance & Development / Statistical Office (Cayman Islands),KY1,,257,
ie4,Department of Finance (Ireland),IE4,,258,
bs1,Department of Statistics (Bahamas),BS1,,259,
bn1,Department of Statistics (Brunei Darussalam),BN1,,260,
jo1,Department of Statistics (Jordan),JO1,,261,
mq1,Department of Statistics (Martinique),MQ1,,262,
ws1,Department of Statistics (Samoa),WS1,,263,
my1,Department of Statistics Malaysia,MY1,,264,
mr1,Department of Statistics and Economic Studies (Mauritania),MR1,,265,
cy1,Department of Statistics and Research (Ministry of Finance) (Cyprus),CY1,,266,
gb4,Department of Trade and Industry (United Kingdom),GB4,,267,
au5,Department of the Treasury (Australia),AU5,,268,
de2,Deutsche Bundesbank (Germany),DE2,,269,
7n0,Development Bank of Latin America (Banco de Desarrollo de America Latina),7N0,,270,
pt3,Direccao Geral do Orçamento (DGO) (Portugal),PT3,,271,
hn1,Direccion General de Censos y Estadisticas (Honduras),HN1,,272,
dj1,Direction Nationale de la Statistique (National Department of Statistics) (Djibouti),DJ1,,273,
ml1,Direction Nationale de la Statistique et de  l’Informatique (DNSI) (Mali),ML1,,274,
sn1,Direction de la Prevision et de la Statistique (Senegal),SN1,,275,
fr5,Direction generale des douanes (France),FR5,,276,
ch3,Direction genérale des douanes (Switzerland),CH3,,277,
bh1,Directorate of Statistics (Bahrain),BH1,,278,
pa1,Directorate of Statistics and Census (Panama),PA1,,279,
mz1,Direcção Nacional de Estatística (Mozambique),MZ1,,280,
ae_du6,Dubai Financial Services Authority,AE_DU6,,281,
4t10,EBA (European Banking Authority),4T10,,282,
5f0,EBRD (European Bank for Reconstruction and Development),5F0,,283,
6k0,EBU/UER (European Broadcasting Union/Union européenne de radio-télévision),6K0,,284,
4f0,ECB (European Central Bank),4F0,,285,
5i0,ECCB (Eastern Caribbean Central Bank),5I0,,286,
5y0,ECCU (Eastern Caribbean Currency Union),5Y0,,287,
6n0,ECMWF (European Centre for Medium-Range Weather Forecasts),6N0,,288,
6a60,ECOWAS Bank for Investment and Development,6A60,,289,
7c0,EDB (Eurasian Development Bank ),7C0,,290,
4e0,EDF (European Development Fund),4E0,,291,
4w0,EFSF (European Financial Stability Facility),4W0,,292,
4c0,EIB (European Investment Bank),4C0,,293,
4g0,EIF (European Investment Fund),4G0,,294,
4t30,EIOPA (European Insurance and Occupational Pensions Authority),4T30,,295,
6i0,EMBL (European Molecular Biology Laboratory),6I0,,296,
6f0,EPO (European Patent Office),6F0,,297,
6e0,ESA (European Space Agency),6E0,,298,
4s0,ESM (European Stability Mechanism),4S0,,299,
4t20,ESMA (European Securities and Markets Authority),4T20,,300,
6m0,ESO (European Southern Observatory),6M0,,301,
b22,EU 15 central banks,B22,,302,
b32,EU 25 central banks,B32,,303,
b42,EU 27 central banks,B42,,304,
b52,EU 28 central banks,B52,,305,
u32,EU central banks not belonging to the Euro area,U32,,306,
b62,EU27 central banks (fixed composition) as of 31 January 2020 (brexit),B62,,307,
6l0,EUMETSAT (European Organisation for the Exploitation of Meteorological Satellites),6L0,,308,
4u20,EURATOM Supply Agency,4U20,,309,
6g0,EUROCONTROL (European Organisation for the Safety of Air Navigation),6G0,,310,
