Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
f6n,"Life insurance and annuity entitlements, pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits",F6N,,191,F62+F63+F64+F65
f511,Listed shares,F511,,192,
f4,Loans,F4,,193,For OECD table 7HH: F4A=F4A1+F4A2 at short term; F4A=F4AK+F4A29 at long term
fw2,"Loans + Insurance, pension and standardized guarantee schemes + SDRs + Trade credits and advances + Other Equity",FW2,,194,FW2 = F4 + F6 + F12 + F81 + F519
fw1,"Loans +Insurance, pension and standardized guarantee schemes + Trade credits and advances + Other Equity",FW1,,195,FW1= F4 + F6 + F81 + F519
f4ak,Loans for consumer durables,F4AK,,196,F4AK=F4A21+F4A22
f4b,Loans for house purchasing,F4B,,197,F4B=F4B1+F4B2
f4c,Loans for other purpose,F4C,,198,
f2_f4,"Loans, currency and deposits: Currency and deposits + Loans",F2_F4,,199,F2_F4 = F2+F4
f4fr,"Loans, fixed rate",F4FR,,200,
f4vr,"Loans, variable rate",F4VR,,201,
gda,Maarstricht debt of which variable interest rate (GFS concept),GDA,,202,
gd,Maastricht debt,GD,,203,
gdb,Maastricht debt of which fixed interest rate (GFS concept),GDB,,204,
n113g,Machinery and equipment (gross),N113G,,205,
n113n,Machinery and equipment (net),N113N,,206,
n11mg,Machinery and equipment and weapons systems (gross),N11MG,,207,N11MG=N113G+N114G
n11mn,Machinery and equipment and weapons systems (net),N11MN,,208,N11MN=N113N+N114N
n221g,Marketable operating leases (gross),N221G,,209,
n221n,Marketable operating leases (net),N221N,,210,
n121g,Materials and supplies (gross),N121G,,211,
n121n,Materials and supplies (net),N121N,,212,
gdm1,Memo: Privatisation proceeds allocated to redemption of debt (GFS concept),GDM1,,213,
gdm2,Memo: Universal Mobile Telecommunications System proceeds allocated to redemption of debt  (GFS concept),GDM2,,214,
n124g,Military inventories (gross),N124G,,215,
n124n,Military inventories (net),N124N,,216,
n212g,Mineral and energy reserves (gross),N212G,,217,
n212n,Mineral and energy reserves (net),N212N,,218,
n1172g,Mineral exploration and evaluation (gross),N1172G,,219,
n1172n,Mineral exploration and evaluation (net),N1172N,,220,
f5223,Mixed Fund Shares,F5223,,221,
f2mm,Monetary deposits,F2MM,,222,
fm,Monetary financial assets,FM,,223,
f11,Monetary gold,F11,,224,F11=F11A+F11B
f1,Monetary gold and SDRs,F1,,225,
f11z,"Monetary gold, of which gold under swap for cash collateral",F11Z,,226,
f3m,Monetary securities,F3M,,227,
f521,Money market fund shares/units,F521,,228,
f521b,Money market fund shares/units: reinvestment of earnings,F521B,,229,
f4b1,Mortgage guaranteed,F4B1,,230,
f4b2,Mortgage unguaranteed,F4B2,,231,
n21g,Natural resources (gross),N21G,,232,
n21n,Natural resources (net),N21N,,233,
fned,Net external debt,FNED,,234,"FNED= F11B+F12+F2+F3+F4+F6+F8; In some data flow definitions the integrity rules are shown in a different format in order to explain to users their practical implementation. However, in none of the cases double counting is allowed."
fcz,Net implicit obligations for social security benefits,FCZ,,235,
nendi,Net international investment position excluding non-defaultable instruments,NENDI,,236,
f522,Non-MMF investment fund shares/units,F522,,237,
n213g,Non-cultivated biological resources (gross),N213G,,238,
n213n,Non-cultivated biological resources (net),N213N,,239,
n21og,Non-cultivated biological resources and water resources (gross),N21OG,,240,N21OG=N213G+N214G
n21on,Non-cultivated biological resources and water resources (net),N21ON,,241,N21ON=N213N+N214N
nyn,Non-financial assets (includes total produced fixed assets and land underlying dwellings) (net),NYN,,242,
nkg,"Non-financial assets, other than dwellings and lands (gross)",NKG,,243,
nkn,"Non-financial assets, other than dwellings and lands (net)",NKN,,244,
f6o,Non-life insurance technical provisions and provisions for calls under standardized guarantees,F6O,,245,F6O=F61+F66
f61,Non-life insurance technical reserves,F61,,246,
f2mf,Non-monetary deposits,F2MF,,247,
ff,Non-monetary financial assets,FF,,248,
f3f,Non-monetary securities,F3F,,249,
f4m2,Non-performing loans,F4M2,,250,
n2g,Non-produced non-financial assets (gross),N2G,,251,
n2n,Non-produced non-financial assets (net),N2N,,252,
f4a2,Non-revolving credit,F4A2,,253,
f4np,Nonperforming loans,F4NP,,254,
_z,Not applicable,_Z,,255,
f2t4_71,Numerator for financial sector leverage,F2T4_71,,256,F2T4_71=F2+F3+F4+F71
f711a,Options,F711A,,257,
f711,Options type,F711,,258,
fr51,Other ( remaining part of other foreign currency assets (not included in reserve assets)),FR51,,259,
fr8,"Other (flows related to repos and reverse repos, trade credits and other accounts payable/receivable)",FR8,,260,FR8=F29C+F81A+F89
n2159g,Other (gross),N2159G,,261,
n2159n,Other (net),N2159N,,262,
fw3,"Other Debt Liabilities: Insurance, pension and standardized guarantee schemes + SDRs + Other accounts receivable/payable, excluding trade credits and advances",FW3,,263,FW3 = F6 + F12+ F89
flf,Other FDI debt instruments,FLF,,264,FLF=FL-F4-F3-F81
f5229,Other Fund Shares,F5229,,265,
f63o9,Other Pension Plans,F63O9,,266,
f63o,"Other Pension Plans, including Unfunded Pension Plans",F63O,,267,
f8,Other accounts receivable/payable,F8,,268,F8=F81+F89
fs,Other accounts receivable/payable plus financial derivatives,FS,,269,F71+F8
f89,"Other accounts receivable/payable, excluding trade credits and advances",F89,,270,
f8fr,"Other accounts receivable/payable, fixed rate",F8FR,,271,
f89c,"Other accounts receivable/payable, other than trade credits, related to EU flows",F89C,,272,
f89d,"Other accounts receivable/payable, other than trade credits, related to Military Expenditure",F89D,,273,
f89b,"Other accounts receivable/payable, other than trade credits, related to social contributions",F89B,,274,
f89a,"Other accounts receivable/payable, other than trade credits, related to taxes",F89A,,275,
f89a_b,"Other accounts receivable/payable, other than trade credits, related to taxes and social contributions",F89A_B,,276,
f89a1,"Other accounts receivable/payable, related to D.2 taxes on production and imports",F89A1,,277,
f89a2,"Other accounts receivable/payable, related to D.5 taxes on income, wealth, etc.",F89A2,,278,
f89b1,"Other accounts receivable/payable, related to D.611 and D.613 actual social contributions",F89B1,,279,
f89a3,"Other accounts receivable/payable, related to D.91 capital taxes",F89A3,,280,
f8vr,"Other accounts receivable/payable, variable rate",F8VR,,281,
foal,Other assets and liabilities of general government entities (assets/liabilities as defined for EDP financial crisis tables and to be used with custom breakdown FC),FOAL,,282,
n112g,Other buildings and structures (gross),N112G,,283,
n112n,Other buildings and structures (net),N112N,,284,
fr41,"Other claims (other reserve assets than Currency, deposits, securities and financial derivatives)",FR41,,285,FR41=F4+FR411
fy,"Other debt assets/liabilities: insurance, pension and standardized guarantee schemes + other accounts receivable/payable, excluding trade credits and advances",FY,,286,FY=F6+F89
f29,Other deposits,F29,,287,F29=F29A+F29B+F29C+F29E
f71r,Other derivatives,F71R,,288,
f519,Other equity,F519,,289,
f9,"Other financial assets/liabilities, non elsewhere classified",F9,,290,
fndx,Other financial transactions within EDP,FNDX,,291,
fndl,Other financial transactions within EDP of which: transactions in debt liabilities (+/-),FNDL,,292,
n11pg,Other fixed assets (gross),N11PG,,293,N11PG=N115G+N116G+N117G
n11pn,Other fixed assets (net),N11PN,,294,N11PN=N115N+N116N+N117N
fr5,"Other foreign currency assets (securities, deposits, loans, financial derivatives and gold not included in reserve assets)",FR5,,295,FR5=F3+F5+F2+F4+F71+F11+FR51
f712d,Other forward-type contracts,F712D,,296,
fxspvg,Other guarantees provided (FAM concept),FXSPVG,,297,
f4a299,"Other installment credit, excluding student loans",F4A299,,298,
f4a29,"Other installment credit, including student loans",F4A29,,299,
fr9,"Other instruments than forwards, futures and options",FR9,,300,FR9=F-F71FO
fr0,Other instruments than insurance and technical reserves (F6); equity (F5); securities (F3); currency and deposits (F2),FR0,,301,F-F6-F5-F3-F2
n1179g,Other intellectual property products (gross),N1179G,,302,
n1179n,Other intellectual property products (net),N1179N,,303,
n2119g,Other land and associated surface water (gross),N2119G,,304,
n2119n,Other land and associated surface water (net),N2119N,,305,
fv,"Other liabilities (F.5, F.6 and F.8)",FV,,306,FV=F5+F6+F8
fn,Other liabilities/assets (GFS concept),FN,,307,FN=F1+F8 for assets; FN=F1+F5+F8 for liabilities
f4a19,Other lines of credit,F4A19,,308,
